接受美国CBS记者麦克·华莱士的节目访谈

江泽民：	时光荏苒。	Jiang:	Time flies very fast.
江：	他不来呢？他访问中国，和中国的科学家交流是件很正常的事情，就和一些中国科学家出国公干没有区别。嘛，我这并不是在为李文和辩护，他自己可以为自己辩护。不过请允许我引用一句中国的谚语，“欲加之罪，何患无辞”。我们不清楚这背后的政治意图是什么。我可以给你举个例子，几句为王的科学家，爱因斯坦，他创立了相对论。	J:	If he not? This is just natural for him to come and visit us and to talk with the Chinese scientists. Just as normal as some Chinese scientists to also travel abroad. Well, I'm by no means trying to defend Wen Ho Lee, he can defend himself. However, allow me quote a Chinese proverb which says that "if you are out to condemn someone, you can always trump up a charge". We don't know what political motives are behind it. I'll tell you an example. The very famous scientist, Einstein. He invented the theory of Relativity.
华：	对。	W:	Right.
江：	嗯，分别在1905年和1916年。在20世纪，如果没有量子力学，没有相对论，那就不会有什么原子弹。但是爱因斯坦，我可以很肯定地说，爱因斯坦他并不希望他的理论被用来制造炸弹，你懂的。所以我认为，把科学家之间的交流视为政治问题并不妥当，除非有人想借此获取什么政治利益。直到今天，中国人民还是认为李文和是位德艺双馨的科学家。	J:	That's right. In 1905 and 1916. In 20 century, if no quantum theory, no relative theory, it will be no atomic bomb. But Einstein, I'm convinced that, Einstein, he didn't like to use his theory to make the bomb, you know. So I don't think it's appropriate for people to think that exchanges among scientists should have a problem unless some people were trying to achieve some political purpose. Up to today, the Chinese still see Wen Ho Lee as a very well-renowned scientist.
华：	就这样？	W:	That's all?
江：	就这样了。	J:	That's all.
华：	不是间谍？	W:	Not a spy?
江：	当然了。	J:	Of course.
华：	您显得很拘谨。这是今天这次对话的第一次，当我一提到李文和这名字的时候，我突然觉得这个话题会让您难堪，其他问题好像都不是问题。	W:	You seem almost defensive. For the first time in this whole conversation when I raised the name of Wen Ho Lee, all of a sudden I sensed… this is a difficult subject for you, and none other have, I, have I felt that way.
江：	我没有什么好难堪的，这只是你的感觉。	J:	This is not difficult to me. This is your feeling.
华：	好吧。	W:	All right.
江：	可能是灯光的问题吧。	J:	Maybe under the lights.
华：	可能真是灯光的问题。我之所以要问关于李文和的问题是因为我跟他偶遇，我发现他……	W:	Conceivably under the lights. The reason I asked about Wen Ho Lee is because I met him, and found him…
江：	那你认为呢？	J:	But what do you think?
华：	这种事轮不到我考虑。	W:	I'm not supposed to think.
江：	你既然说李文和是间谍，那你到底觉不觉得他是中国间谍呢？	J:	You say Wen Ho Lee's a spy, Chinese spy, or not?
华：	我认不认为？	W:	Do I think?
江：	没错。你需要好好考虑一下。	J:	That's right. You are to consider carefully.
华：	我在好好斟酌，因为我手里并没有太多信息，可能别的人更加了解。但是既然您问了我会回答的。	W:	I am considering very carefully, because my, I don't have all of the information perhaps that somebody else does. But you've asked, and I'll answer.
江：	你掌握的消息也许比我知道的要多得多了。	J:	You have the information may be much more than I.
华：	不见得。	W:	No, well.
江：	我都是看报纸才知道的。	J:	I'm only from the newspaper.
华：	是啊。	W:	Yeah, well.
江：	不过我想……	J:	But I think…
华：	我不……	W:	I don't, ah, ah…
江：	我想这是我第一次……	J:	But I think first time I…
华：	您第一次难倒我了。	W:	You've stumped me.
江：	不。这是我第一次发现原来你也很难回答这个问题。	J:	No. first time I discover you face the difficult to answer this question.
华：	是的没错，没错，我也许不该回答这个问题。因为我的立场是一个理性客观的新闻工作者。再问多一个问题。他的辩护律师说李文和之所以成为被迫害的牺牲品仅仅是因为他是华裔美国人。您对他说的话有什么看法吗？	W:	Yes, that's true. That's true. I probably shouldn't answer. Because I'm dispassionate reporter, an objective reporter. One more question. His attorney says that Dr. Wen Ho Lee was single out for persecution simply because he was a Chinese-American. Does that make any sense to you?
江：	我想我已经就李文和一案把我想说的话都说了。我希望美国在处理这一类安检的时候不要带有种族主义的色彩，而是要遵从亚伯拉罕林肯所提倡的众生平等原则。	J:	I think I've already said everything I want to say about the Wen Ho Lee Case. I hope the United States will not have any racial discrimination in handling such cases, in that instead it will follow the principal that all men are created equal, as advocated by Abraham Lincoln.
华：	您这样就很像一个共和党党员了。	W:	That makes you a republican.
江：	我也不倾向于美国哪个特定党派的立场，因为我在美国两党都有许多朋友。不管如何，我终究是一名中国共产党员。	J:	I don't side with any individual political party in the United States because I have many friends in both parties. Anyway, I'm a member of Communist Party of China.
华：	中国的北戴河是不是相当于美国的戴维营？	W:	Is this the Chinese equivalent of Camp David, Beidaihe?
江：	但是它是一个每年夏天我们的中央官员都会来这里的传统，但我们来这里度假的，我们还是会像在北京一样处理日常事务。只不过有时会去游泳。我的医生一直在建议我游泳，今早我就去游了一次，这是我今年夏天的第21次游泳。	J:	It is a tradition to move our office here every summer. But in fact, we are not having a vacation here because we conduct our normal business as we do in Beijing, except here we may go for a swim. My doctor often suggests that I should siwm, I swam this morning for 21st time this summer.
华：	中国领导人都有有用的传统，毛泽东游，邓小平游，江泽民，谁会是你的接班人？他也会游泳吗？	W:	It's the tradition for Chinese leaders to swim, Mao Tsetung swam, Deng Xiaoping swam, Jiang Zemin…who's gonna be your successor, and is he a swimmer?
江：	我想这也许只是一个巧合，不过游泳确实可以让你放松身心、振作精神。	J:	That may be a coincidence that we all swam. But it is true that swimming makes you feel relaxed and refreshed.
华：	四年之前，您曾召集一批学者和历史学家在北戴河开会讨论有关中国道德滑坡的问题，这也是我们在西方所面临的问题。道德沦丧，传统价值观崩溃，还会愈演愈烈，不是吗？好的。这会不会是“致富光荣”造成的后果？邓小平说过：“致富光荣”。然后一夜之间，人们就……这些都发生在您开启你们中国特色资本主义的那一年。呃……会不会是这个样子，当我们人类得到更多的物质财富的时候，我们的内心就会变得更加骄奢淫逸？	W:	Four years ago here in Beidaihe, you called together a group of scholars and historians to discuss the moral crisis in China, Problem that we face in the west as well. The death of moral, the disaggregation of traditional values. Still going on, isn't it? Yes. Could this be a result of "To get rich is glorious"? Deng Xiaoping said, to get rich is glorious. And all of a sudden, people began… That's when, that's when you started your capitalism with your Chinese characteristics. Arr… Is it conceivable that the more material gains that we make as human beings, the more we become hedonists, permissive?
江：	你应该说对了时间点，大概是四年前吧。其实这个题目我们经常研究，不管哪一个国家，好几千年以来，特别是在中国，因为历史比较悠久，对于精神文明和道德诚信一直是非常重视的。邓小平的中国特色社会主义是要人们致富，确实是允许一部分地区、一部分人先富起来，但我们的目的是要达到共同富裕。“致富光荣”并不是资本主义。社会主义是要让全体人民富裕幸福，并建设一个富强的国家。我今年二月份在广东给他们讲，你们现在比起中国其他的地方，比西部的省市要富了，但是要“致富思源、富而思进”，不能坐享其成。我想一边物质丰富，一边道德滑坡，这是我们所有国家领导人都不愿意见到的。	J:	You may be right about the timing, it was maybe 4 years ago, in fact, this question is a frequently discussed topic for us. China is a nation with a long history, and we have already attached great importance to spiritual civilization and moral integrity. And the theory of building socialism with Chinese characteristics, as advocated by Deng Xiaoping, does allow certain people in some areas to become rich first, but the ultimate objective is to achieve common prosperity. "To get rich is glorious" is not capitalism. Socialism is to make their country strong and prosperous. In February, I visited the part of the Guangdong Province, where I said to the people there that you are richer than some other parts of China, and you need to think about the source of your wealth that you should build up your prosperity and not to just sit back and enjoy what you have achieved. I think the last thing world leaders want to see is the scenario while you have material wealth on one hand, but moral decline on the other.
华：	但是，主席先生您自己就曾告诫过中国人民，您说“要抵制西方腐朽影响的侵蚀”。您说的“西方腐朽影响的侵蚀”具体指的是什么，主席先生？	W:	But, you yourself, Mr. President, you yourself have urged people, I quote, "to filter out decadent western influences." Which, which decadent western influences are you talking about, Mr. President?
江：	应该这么说，我恐怕不能就腐朽给出比你更清晰的答案，因为我毕竟没有在美国生活过。例如拉斯维加斯，我从来没在那里生活过，但我在电影里看到过那些场景。美国的领导人，包括原来的总统布什、卡特，也包括现在的总统克林顿，我们也都非常担心，青年一代的道德领域受到这种堕落道德观的影响。	J:	I'm afraid I can't give you a clearer answer about this decadence than you can, because I have not lived In the United States. For example, Las Vegas, I've never been there, but I've seen it on movie pictures. I and the American leaders including former president Bush and Carter, and the current president Clinton are worried about the influence of decadence on the morals of young people.
华：	您懂的，我肯定主席您知道几乎所有优秀的好莱坞电影都广为流传，也包括中国这里，但这貌似就成了您和你们党与中国人民之间众多的分歧之一。他们很喜欢这些电影，但你们却想把它们拒之门外。难道是因为中国人民都很腐朽么？	W:	You know, I'm sure Mr. President that you know that, virtually every good Hollywood film is passed around, here in China. That sounded to be the one of the gaps between you and the Party, and the people of China. They welcome it. You want to keep them out. Is it because the Chinese people are decadent?
江：	我们并不抵制西方电影，事实上，我也很热衷于观赏西方电影。当我还是大学生的时候，我特别爱看《一曲难忘》《魂断蓝桥》《出水芙蓉》还有《青山翠谷》。西方哪部电影我没看过？	J:	We don't have any objections to western films. In fact, I'm also a viewer of the western movies. When I was a college student, I loved A Song to Remember, Waterloo Bridge, Bathing Beauty, and How Green Was My Valley. I've seen many American and European films.
华：	不过我们谈的是关于腐朽的问题，我们谈的是，您是否认为美国比中国更加腐朽？您是否觉得美国正在向中国出口腐朽？	W:	But we are talking about decadence, we are talking, do you think America is more decadent, for instance, than China, and that we are exporting out decadence to you?
江：	呃，应该这么说，我们两国在历史传统、生活习惯、宗教信仰方面有很多差异，有些可能你们认为不是颓废的东西，但是到中国来会被认为颓废。所以我们必须有一定的选择性。比方说《泰坦尼克号》在中国很火，我也看过这部电影，我还看了《角斗士》和《阿甘正传》。电影里面声称角斗士描述了古罗马帝国的部分历史，这就与历史真相有所违背了。不过这些我们完全可以理解，这是艺术加工。	J:	Well, about decadence. Our two countries may be different in terms of historical tradition, way of life and religious belief etc. So maybe there are things that you aren't regarded as decadent in the United States, that are regarded as decadent in China. That's why we have to be very selective. For instance, Titanic was a big hit in China, and I watched the film. I also saw Gladiator and Forrest Gump. For example, the movie called gladiator describes a part of history in the Rome Empire, there may be a slight deviation from the historical truth. But it is something we fully understand. It is an artistic creation.
华：	阿尔戈尔，乔治 W 布什，他们两人之一将会在您国家主席任期内成为美国总统。如果他们现在正在收看这个节目，您想就未来的中美关系对他们说些什么呢？这是很严肃的问题。	W:	Al Gore, George W Bush, one of them is going to be president of the United States when you are still president of China. If they are watching right now, what would you want to sat to them about future US relationship with China? Serious questions.
江：	我刚才讲了，我在两党领导层和两党党员中都有许多朋友。	J:	As I said to you earlier, I have a lot of good friends within the leadership of the two parties, and many members of two parties.
华：	那您是给双方阵营都给钱了么？	W:	So you give money to both their campaigns?
江：	我们没有在这方面的……但是我，我这个意思不是说给钱。我是说无论什么人成为总统，他都会尽力推进中美之间的友好关系，因为这符合全世界的战略利益。有些人叫我不要在意候选人针对中国的不友好言论，因为一旦当选，他们就会变得更友好些。我只希望他说的是真的。	J:	Are you just joking? We have never done such thing. I have read the campaign platforms of both parties and I believe whoever becomes president too will try to improve the friendly relations between China and the United States for this is in the strategic interest of the whole world. Someone asked me not to pay attention to unfriendly remarks candidates might make about China during the campaign because once elected, they will be friendly. I only hope that's true.
华：	啊，比尔克林顿就是这么做的。他以前对中国说过丑话，等到他当选以后，对中国的态度转变相当大，不是吗？	W:	Well, that's what Bill Clinton did. He made unfriendly remarks about China, and after he was elected, he because quite different about China, didn't he?
江：	你会知道这些事的。	J:	You'll know that.
华：	许多人相信，主席先生，您和你们的党与中国人民做了一笔交易。您给他们带来经济自由，社会自由，让他们安居乐业……	W:	Many people believe, Mr. President, that you have made a deal, you and your party, with the people of China. You give them economic freedom, social freedom to work, live where and how they want.
江：	还有迁徙自由？	J:	Traveling?
华：	作为交换，他们放弃了任何挑战共产党权威的权利。	W:	And exchange, they give up any right to challenge the authority of the Communist Party. That's about it, yes?
江：	很坦率地讲，我们双方在价值观念上确实还有很大的不同。美国人往往用你们的逻辑思维去推断其他国家的政治、其他国家的各种情况。你们美国的价值观强调的是公平交易，而我们的价值观里一直崇尚有一个很好的集体，相互协作。在你们的国家也有相互帮助，但是我们对于“交易”的理解跟你们西方不太一样。我们中国共产党的宗旨就是为人民服务，我们在为人民服务的过程中要取得人民的信任。新中国建立以后经过几十年的奋斗，也经过一段曲折的道路，但是邓小平确立的的开放政策非常成功，我们现在叫中国特色的社会主义。但是，西方往往希望我们变成资本主义，但如果全世界只有一种体系在运转，那我们这个世界就太单调了，我认为世界应该是丰富多彩的。我们要学习所有西方先进的思想、文化，包括科学技术、经济的经验。当然，这必须跟我国的国情相结合。正是由于遵循这个原则，我们这几十年取得了比较大的成绩。	J:	Let me be frank with you, I think China and the United States differ greatly in terms of value. You Americans always use your own value and logic in making judgements about the specific situations or say political situation of other countries. Your American values emphasize deal making, but what we value most is a good collective where people support and assist each other. You also have mutual support in your country, but our perception of the word "deal" is different from your word in the west. The purpose and principal of the Communist Party are to serve the People, in this process, we win the trust and confidence of our people. Since the founding of the People's Republic, we have travelled through twists and turns in our decades of developing the nation. The policy of reforming and opening-up, initiated by Deng Xiaoping, was a great success. So now, we are building a China, socialism with Chinese characteristics. But people in the west always hope that Chinese can become a capitalistic country. But with only one system around. Would the world be a very dull place? I still believe the world should be a diverse and colorful one. We want to learn from the western world everything advanced and progressive, including science and technology, and its experience in managing economy. Of course, this must be combined with specific conditions here. And it's exactly because we have followed these principles that we have scored great achievement in the past few decades.
华：	接下来又是关于美国“穷兵黩武”的问题。如果美国继续部署导弹防御系统，正如克林顿总统所说的那样，中国是否会以研制更多的导弹来回应？	W:	This goes, this following the business about the United States being "power man". If the United States would go ahead with the missile system, the President Clinton has talked about, would China respond by building more missiles?
江：	我认为我们逐渐提升我们的国防能力是很正常的事情。	J:	I think it's just normal for China to gradually strengthen our capability for national defense.
华：	就这么简单吗？因为您对扩大导弹防御的可能性一直持激烈反对的态度。就是从这时您开始议论我们，开始在你们的报纸上说我们是“穷兵黩武”，“唯恐天下不乱”什么的。	W:	That's it? Because you complain bitterly about the possibility of our expanded missile defense by the United States. That's when you began to talk about our being, somebody in your newspapers, began to talk about our being "power man", and "not interested in peace" and so forth.
江：	我们反对你们搞国家导弹防御系统，反对搞战区导弹防御计划，我们也是很矛盾的。	J:	We are opposed to national missile defense and theater missile defense plan. We are ambiguous about this.
华：	因为？	W:	Because?
江：	因为这在世界上造成了一种气氛，使人们感觉到不是大家都在从事和平与发展的共同事业。中国考虑的就是我们绝不会使我们国家的安全利益受到损害。你们的导弹防御非常自然地会使我们感到这是一种威胁。	J:	Because that would create an atmosphere where people cannot possibly engage in the effort to achieve the common task of peace and development. Our national security interest must not be impaired in any way. Your missile defense may naturally be perceived by people as a kind of threat.
华：	这哪里是威胁呢。	W:	A threat against tomb.
江：	它对我们而言就是个威胁。举例来说，我们就很担忧台湾加入美日的导弹防御系统。	J:	It is a threat against us. For instance, we are worried about the possibility of Taiwan being incorporated into a US-Japan missile defend system.
华：	您刚才讲，希望能改善美中关系，对吧？好的。那么您想怎样来改善与美国的关系呢，主席先生？	W:	You've said that you want to improve relations with United States, yes? OK. What would you do to improve relations with the United States, Mr. President?
江：	我想在这一点上最主要的就是我们希望领导人之间要有一个登高望远的观点。我们要站得高才能望得远。事实上 ，1993年，我与克林顿见面时，我就讲了中国的诗句：“欲穷千里目，更上一层楼”，这就是登高望远。戈尔来的时候，我也跟他讲了我们宋朝宰相王安石的一首诗，“不畏浮云遮望眼，自缘身在最高层”。美国比起中国来说的个相对年轻得多的国家，因此你们的历史包袱也比较少。你们的人民也一贯表现出一种激发创新的精神。	J:	Most importantly, the leaders of both countries should scale a great height and adopt a long term perspective. We need to stand high and look far. And in fact, when I was having my very first meeting with President Clinton in 1993, I quote a Chinese line, "to have a grand sight, you must scale a great height." And when vice president Gore travelled to China, I also quoted some lines from the Song Dynasty. It goes, "I do not fear the floating clouds might block my view, because I am standing on the highest peak." The United States is a much younger country compared with China, so may be you have fewer historical burdens. And your people demonstrate an innovate inspiration spirit.
华：	但在我看来，在我看来，你就是一位独裁者，一个极权主义者。	W:	You are, you are, it seems to me, a dictator, and an authoritarian.
江：	不，但我……但我非常坦率地说，我是绝不会认同你说我是一名独裁者的观点的。	J:	No, but I… Very frank speaking, I don't agree with your point, I'm a dictator.
华：	我知道，我知道你不会承认的，但美国也有句古话叫做“如果走着像鸭子，叫着像鸭子，那么它就是只鸭子。” 独裁者就是那些会疯狂打压不管是新闻自由还是宗教自由或者私有经济的人，我觉得现在你有点朝这方面发展的倾向了。你就像最高权威的严父家长，有谁敢心怀忤逆，你就会收拾他。这就是一个政治上的独裁者。	W:	I know you don't. I know that you don't. But there's an old American phrase about it. "If it walks like a duck and quacks like a duck and so forth it's a duck." A dictator is somebody who forcibly whether it's free press or free religion or free private enterpris, now you're beginning to come a little closer to that. Your father, knows best. And if you get in the way of father, father will take care of you. That's what a dictator is in eccect politically.
江：	你……这是天方夜谭。中国的现实是我们确实接受中国共产党的领导，但是我们从法律上来讲，共产党只会提议，最后由人民代表大会来决定。	J:	I think your way of describing what things are like in China is absurd as what Arabian nights may sound like. The reality in China is that we have leadership by the Communist Party. According to law, the Party only makes recommendations. Everything needs to be approved by the National People's Congress.
华：	由人民代表大会来决定？	W:	By the National People's Congress?
江：	对。	J:	Of course.
华：	完全由你们的党员把持的人大？	W:	All from your members of the party?
江：	所有的国务院的领导和所有部长，他们的提名都需要人民代表大会通过的，日常事务由国务院负责。共产党内权力最高的是全国代表大会，代表大会选出中央委员会，中央委员会选出政治局。政治局有常委会，我是其中的一名常委。我们政治局常委每个星期都要开会，完全是在开放民主的气氛当中，如果没有全体成员的通过，我做不出任何决定。	J:	All the ministers, their nomination are approved by the National People's Congress, and also the leadership of the State Council. So the State Council looks after the day-to-day business of the country. The supreme power of the Communist Party lies with the National People's Congress. And the National Congress chooses the Central Committee, and the Central Committee has a Politburo. The Politburo has a Standing Committee of which I am a member. So every week the Standing Committee members have a meeting. And the meeting is held in an open, democratic atmosphere, when one member of the Standing Committee has objection, I'll not make a decision.
华：	听着，这是最后一个问题了，关于独裁。您知道的。当我看到那个手无寸铁的年轻人在天安门广场的坦克前面的图片，这对我而言，代表着中国的独裁，这是最好的象征。这个画面深深震撼了我对中国独裁的认识。	W:	Look, one last question, dictatorship. You know what? When I see the picture of that one young man in front of the tank in Tiananmen Square. That to me means Chinese dictatorship, that's a wonderful symbol. That hits, hits me in my heart about dictatorship in China.
江：	不需要翻译了，我知道你想说什么。我很愿意回答这个问题，因为ABC的芭芭拉沃尔特斯十年前就问过我同样的问题，而且给我看了那个照片。我说过，这个年轻人没有被逮捕，也没有受到伤害，因为坦克在他面前停下来，拒绝碾过他。芭芭拉也告诉我这个年轻人的名字，我可能忘了，但我问过在公共安全情报机关工作的负责人，他们利用尽可能多的关系网络来寻找这个年轻人，经过一个月的调查，我们确信这个年轻人并没有被捕。	J:	Don't need translation. I know what you said, ha ha. I'm very willing to answer these questions because Barbara Walters of BBC had asked me the same question about 10 years ago and gave me a photo. And I said this young man was not arrested and did not get hurt because the tank stopped in front of him and refused to crash him. And Barbara also gave me the name of who she believed was the young man, although I may have forgotten the specific name. but I ask people who are working with the public security agencies to use all of their networks to check out where was that young man, And after a month-long investigation, I can say for sure that this young man has not been arrested.
华：	你有没有一点钦佩他的勇气？	W:	Did a part of you admire his courage？
江：	但是我从未见过他，尽管我们试图找出他在哪里，不过我们确实知道他没有被捕。我们真不知道他现在到底在中国的哪里。但从图片上看，我相信他有他内心的想法，至于想法正不正确，那完全是另一回事，我不确定是谁或者什么事物影响了他……	J:	In fact, I've never met this young man, although we try to search out where was that, but we do know that he was never arrested. I do not know where he lives now in China. But looking at the picture, I know he definitely has his own ideas, but whether his idea was a correct one, that's entirely a different question. I cannot tell for sure who and what influences him.
华：	你还没有回答我的问题，主席先生。你，江泽民的内心是否会赞美钦佩他的勇气？	W:	You have not answer the question, Mr. President. Did, did a part of Jiang Zemin, admire, admire his courage?
江：	我……因为我想你想让我说什么，但我想强调的是，我们充分尊重每一个人民自由表达愿望与诉求的权利，但我不会赞同与政府公然对抗。即便是在如此紧急的情况下，我们的人民军队还是表现出相当的理智与克制。	J:	Well, I know what you are driving at, but what I want to emphasize is that we fully respect people's rights to freely express their wishes and desires. But I do not favor any flagrant opposition for the government measures during an extortionary situation. The tank stopped, and did not run over the young man. Even under extortionary circumstances, our troops remain very rational and reasonable.
华：	看来您是不想再回答这个问题了，这我能理解。不过我并不是在说那辆坦克，我是在谈论那个人的内心，那个孤单的年轻人，和他的勇气。那个年轻人孑然一人站在……以前在上海，你也是一名抗议学生。我想江泽民您，如果能回到之前他们那个年纪的话，应该也会去做同样的事情。那大概是您加入共产党之前的事情了吧。这才是我问这个问题的目的。	W:	I'm not going to get answered, I understand. But I'm not talking about the tank, I'm talking that man's heart, that man's courage. That man, that lonely man, standing against that… You were a student protestor, like a Shanghainese. I can see that perhaps you, Jiang Zemin, would have done the same thing at that time before, that was before you joined the Communist Party. That's, that's what I'm asking.
江：	1943年的时候我还在南京上大学，那时候日本人已经强占了包括南京在内的许多中国领土，日本人希望让中国人对鸦片上瘾，所以我们自发组织了反鸦片运动，捣毁了许多鸦片药房。当我们遭遇到日军，他们拿着刺刀和步枪指向我们的时候，我们就唱了抗议歌曲《同学们大家起来保卫祖国》：?同学们，大家起来，担负起天下的兴亡，听吧，满耳是大众的嗟伤，看吧，一年年国土的沦丧?	J:	In 1943, I was still in Nanjing, attending university. The Japanese occupied many parts of China, including Nanjing. The Japanese wanted the Chinese to get addicted to opium, so we launched an entire opium movement and smashed many opium houses. When we confronted the Japanese military who are pointing their bayonets and guns at us, we sang a protest song Arise My Fellow Classmates and Defend the Motherland. ? Arise! My fellow classmates! It's time to shoulder your responsibility to defend our motherland! Take a sound of people's bemoan! Have a view of this invaded country! ?
华：	您做过调查去了解中国人民都在想些什么吗？	W:	Do you take opinion pools to find out what the Chinese people are thinking?
江：	我们选择一部分人做样本询问他们的意见，去了解他们的想法，而且我们也是在科学方法的基础上作出结论的。	J:	We selected over the people a sample to ask their opinion, and we try to know what they are thinking. And also, we also make the conclusion based on scientific methods.
华：	不过你的调查方式和比尔克林顿也差不多。	W:	But you poll just the way Bill Clinton polls.
江：	嗯，我也和一些人民群众保持密切的接触和联系。	J:	Well, I also have some personal contacts and keep in personal touch with people.
华：	到今天为止，您是否还认为美国是故意轰炸了中国驻贝尔格莱德的使馆？	W:	Do you today, Mr. President, do you still believe that the United States bombed your embassy in Belgrade on purpose?
江：	嗯，我只能反过来对你讲，美国是拥有高度技术的国家，以美国的顶尖科技，所有关于'误炸'的说法都难以让人信服。	J:	Well, let me put it the other way around. The United States has state-of-the-art technology, so all the explanations that they have given us for what they call a mistaken bombing are absolutely unconvincing.
华：	您不相信……那美国到底为了什么要炸了你们驻贝尔格莱德的大使馆呢？	W:	You don't believe that. What, what would the United States get out of bombing your embassy in Belgrade?
江：	这对于我们来说也是一个问题。又是一个问题。你们的军事指挥系统又是那么先进，你们有先进的无线电通讯设备，而我们大使馆的标志又是那么清楚，不可能会漏掉，为什么最后还是会发生这样的事情，这仍是一个疑问。不过我们还是保留原有的态度，期待中美关系在新世纪能得到改善。	J:	This for me is also a question. Also a question. Because you have such state-of-the-art technology, and sophistic military command system with advanced radio communication device, and also the identification marks for the Chinese embassy in Belgrade were too clear for people to miss. So why did this happen? It's still a question. But we still adopted an attitude of looking forward to improving Chinese-US relation in the new century.
华：	我明白，不过那都是后话了。但是，但是您也应该明白，即便是中央情报局和五角大楼也是会犯错误的，犯些愚蠢的错误。这仅仅是误炸，美国人对此毫不怀疑，至少我这么认为。你们的飞机是不会去轰炸我们的大使馆的。你能想象吗？如果一家中国轰炸机炸了我们那个大使馆会怎么样？那会激怒美国，就像中国现在的感受一样。“为什么你们要炸我们的大使馆呢？”所以我们为何要炸你们的大使馆呢？我们难道要炸使馆来传递什么信息吗？为什么不直接说出来呢？说我们到底想干什么？这只是一次误炸，不是故意的。	W:	I understand that. And that's behind this. But, but, you know it's possible for the CIA and the Pentagon to make mistakes, stupid mistakes. The American People, the American people have no doubt, no doubt in their mind, I think, that this was simply a mistake. Your planes would not bomb one of our embassies. Can you imagine? If a Chinese plane bomb one of our embassies? That will be heavily paid off America, as there was heavily paid in China. But I… Why would you want to bomb our embassy? Why would we bomb your embassy? What message are we sending? I bombed your Chinese embassy. Why not you just say? You know something? It was, it was a mistake, it was an accident.
江：	就是你们克林顿讲过，事件发生过后，在电话中已经好多次对我表达他的歉意。但是我告诉他：当时，贝尔格莱德的使馆被炸以后，我们12亿人奋起怒吼。我告诉你们的总统，虽然我们人口这么多，但是我们人的生命、每个人的生命还是非常宝贵的，有3个人牺牲了，我还对他讲，几百年你们有合理的解释，想要凭此来引导12亿多民众怒吼的情绪引导到一个理智的轨道上去也不是一件容易的事。既然你代表美国人民，而我代表中国人民，那我们在这个问题上是无法取得完全共识的。	J:	After the incident took place, President Clinton call me on the telephone several times explaining his apology to me. And I said to him that after the bombing in Belgrade of the Chinese embassy, the 1,200,000,000 Chinese people, they all stood up in an angry raw against the incident. And I said to the president, to your president, though we have a very large population, we still highly cherish each and every Chinese life, which we believe, is all too, too precious. We lost 3 lives in that bombing. And I said to him, it's not easy to guide the feelings of 1,200,000,000 angry people towards sensibility in good reason. And since you represent Americans, just as I represent Chinese, it would be impossible for us to reach total agreement on this issue.
华：	到2003年，总统先生，您将会结束你的任期，没错吧？	W:	In 2003, Mr. President, you are through with this term of office, yes?
江：	没错啊。我的国家主席任期将在2003年结束，党总书记任期在2002年结束。	J:	That's right. My term for the president will end in 2003, and for General Secretary in 2002.
华：	就是说到那时候您会放弃现在的三个职位吗？	W:	2002, 2003, are you going to, you intend to give up any of your three posts?
江：	你看，你问了一个又敏感又棘手的问题。今天在这里我无法明确的回答你……因为这取决于我们的民主体制。这一切都要交由全体中国人民和全党的同志来一起决定。无论如何，我们必须首先确保这个拥有12亿人口的大国权力交接能够平稳过渡。我相信这次采访将会极大地推动我们两国人民之间的友谊与相互理解。我说完了。	J:	Oh, you ask very sharp tough questions. Well, I'm afraid I can't give you a definite answer today at this moment, because what will happen will be decided through our democratic system. It all depends on what entire Chinese people and what entire membership of the COC will say. Anyway, we have to make sure that the stability is maintained in such a big country with 1,200,000,000 population. I'm convinced that this interview will be further promoting the friendship and mutual understanding between our two peoples. That is all.
华：	您这样认为吗？	W:	You believe that?
江：	没错。我相信，确信无疑。	J:	That's right. I'm convinced that. I trust it.
华：	你们很向往美国？	W:	You admire America?
江：	没错。	J:	That's right.
华：	你们希望与美国交朋友？	W:	And you want to be friends?
江：	我真心希望能推动我们中美两国人民之间的相互理解。	J:	I want to promote mutual understanding between our two peoples.}
